text
"On 12 March 2025 at 12:33, an incident occurred at Paint Shop. Dislocated shoulder during equipment maintenance Exposure to high-voltage wiring led to concussion. Frankie Smith from the Health & Safety department was involved. The incident was reported by Avery Robinson."
"The incident was reported by Avery Lewis. On 23 November 2024 at 23:41, an incident occurred at Electrical Bay. Peyton Parker from the Dockyard Operations department was involved. Hearing damage from loud machinery Exposure to toxic fumes led to burns."
"Exposure to asbestos led to burns. Minor cuts and bruises The incident was reported by Skyler Parker. Sydney Bailey from the Environmental Services department was involved. On 22 June 2024 at 04:05, an incident occurred at Fleet Garage."
"Peyton Holmes from the Customer Service department was involved. On 22 September 2024 at 17:56, an incident occurred at Dry Dock 1. The incident was reported by Sawyer Pearson. Exposure to toxic fumes led to a fractured leg. Dislocated shoulder during equipment maintenance"
"Worker fell from ladder while repairing the hull, resulting in burns. Taylor Ward from the Procurement department was involved. On 12 May 2024 at 13:56, an incident occurred at Dry Dock 1. Burn from hot welding equipment The incident was reported by Cameron Lewis."
"crane malfunction caused electrical fire, injuring two workers. On 01 March 2025 at 21:15, an incident occurred at Warehouse A. Sydney Murphy from the Operations department was involved. The incident was reported by Spencer Bennett. Hearing damage from loud machinery"
"Quinn Robinson from the Ship Maintenance department was involved. The incident was reported by Sydney Fisher. Dislocated shoulder during equipment maintenance Exposure to asbestos led to concussion. On 20 September 2024 at 03:26, an incident occurred at Cafeteria."
"On 14 October 2024 at 06:05, an incident occurred at Warehouse A. crane malfunction caused a fuel leak, injuring two workers. The incident was reported by Casey Fisher. Quinn Sullivan from the Communications department was involved. Hearing damage from loud machinery"
"Charlie West from the Logistics department was involved. On 26 July 2025 at 14:17, an incident occurred at Paint Shop. Eye irritation from chemical fumes Worker fell from ladder while welding, resulting in burns. The incident was reported by Drew Payne."
"Eye irritation from chemical fumes Worker fell from scaffolding while welding, resulting in burns. Chris Mitchell from the Health & Safety department was involved. On 14 May 2024 at 03:45, an incident occurred at Electrical Bay. The incident was reported by Rowan Parker."
"The incident was reported by Jordan Brown. Exposure to high-voltage wiring led to concussion. Logan Murphy from the Environmental Services department was involved. On 18 April 2024 at 05:51, an incident occurred at Dockyard North. Crush injury to hand from hydraulic press"
"Skyler Morgan from the Fleet Management department was involved. Exposure to toxic fumes led to burns. The incident was reported by Dakota Pearson. On 06 May 2024 at 11:43, an incident occurred at Reception Area. Burn from hot welding equipment"
"Back strain from improper lifting The incident was reported by Rowan Walker. grinder malfunction caused a fuel leak, injuring a contractor. On 05 November 2024 at 16:58, an incident occurred at Office - Admin Block. Harper Payne from the Customer Service department was involved."
"On 24 March 2025 at 15:33, an incident occurred at Main Gate Security. The incident was reported by Spencer Davis. Spencer Smith from the Quality Assurance department was involved. forklift malfunction caused a steel beam to drop, injuring the operator. Hearing damage from loud machinery"
"Laceration from sharp metal panel Frankie Walker from the Procurement department was involved. On 14 February 2024 at 10:33, an incident occurred at Fuel Depot. Worker fell from scaffolding while repairing the hull, resulting in a fractured leg. The incident was reported by Skyler Davis."
"On 24 March 2024 at 05:56, an incident occurred at Dockyard South. Burn from hot welding equipment Worker fell from ship deck while painting, resulting in a fractured leg. Alex Graham from the Ship Maintenance department was involved. The incident was reported by Reese Sullivan."
"The incident was reported by Jamie Fisher. Chris Murray from the Quality Assurance department was involved. Worker fell from ship deck while painting, resulting in a fractured leg. On 31 May 2025 at 01:18, an incident occurred at Reception Area. Fractured ankle due to fall from scaffolding"
"Dakota Brown from the Operations department was involved. On 17 July 2024 at 01:54, an incident occurred at Main Gate Security. Minor cuts and bruises Worker fell from ship deck while painting, resulting in a fractured leg. The incident was reported by Finley Brown."
"Eye irritation from chemical fumes The incident was reported by Jamie Allen. forklift malfunction caused a fuel leak, injuring a contractor. On 27 February 2024 at 10:11, an incident occurred at Paint Shop. Finley Payne from the Security department was involved."
"Eye irritation from chemical fumes Worker fell from ship deck while repairing the hull, resulting in concussion. The incident was reported by Morgan Hughes. On 27 September 2024 at 23:20, an incident occurred at Tool Crib. Quinn Kennedy from the Operations department was involved."
"Jordan Parker from the Quality Assurance department was involved. Worker fell from ship deck while painting, resulting in a fractured leg. On 22 June 2024 at 16:36, an incident occurred at Dockyard North. The incident was reported by Sawyer Murray. Compressed air injury during maintenance"
"On 26 February 2025 at 11:21, an incident occurred at Paint Shop. Finley Walker from the Warehouse department was involved. The incident was reported by Reese Lewis. Minor cuts and bruises forklift malfunction caused a fuel leak, injuring a contractor."
"The incident was reported by Blake Brown. Exposure to asbestos led to burns. Spencer Robinson from the Finance department was involved. Severe abrasion from slip on deck On 09 November 2024 at 03:26, an incident occurred at Engineering Workshop."
"Frankie Bennett from the Health & Safety department was involved. Worker fell from scaffolding while repairing the hull, resulting in concussion. The incident was reported by Morgan Clark. On 15 May 2024 at 08:27, an incident occurred at IT Server Room. Crush injury to hand from hydraulic press"
"Eye irritation from chemical fumes The incident was reported by Rowan Fisher. Chris Holmes from the Customer Service department was involved. Worker fell from ship deck while repairing the hull, resulting in a fractured leg. On 10 March 2024 at 01:42, an incident occurred at Fuel Depot."
"On 15 November 2024 at 20:16, an incident occurred at Fuel Depot. crane malfunction caused a steel beam to drop, injuring two workers. Riley Davis from the Quality Assurance department was involved. Laceration from sharp metal panel The incident was reported by Reese Ward."
"Compressed air injury during maintenance Exposure to high-voltage wiring led to burns. The incident was reported by Blake Graham. On 20 March 2024 at 05:35, an incident occurred at Fleet Garage. Jesse Bailey from the Legal department was involved."
"Compressed air injury during maintenance The incident was reported by Elliot Parker. Reese Walker from the Quality Assurance department was involved. On 09 January 2025 at 04:43, an incident occurred at Reception Area. crane malfunction caused a steel beam to drop, injuring two workers."
"Dislocated shoulder during equipment maintenance Harper Johnson from the Dockyard Operations department was involved. The incident was reported by Jamie Bailey. On 03 May 2025 at 16:31, an incident occurred at Main Gate Security. Exposure to high-voltage wiring led to concussion."
"Worker fell from ship deck while painting, resulting in burns. On 12 October 2024 at 19:55, an incident occurred at Shipyard Pier. The incident was reported by Peyton Reed. Jordan Robinson from the Logistics department was involved. Puncture wound from misplaced tool"
"Worker fell from ladder while welding, resulting in burns. On 30 August 2024 at 10:13, an incident occurred at Cafeteria. Back strain from improper lifting Jordan Parker from the Finance department was involved. The incident was reported by Charlie West."
"Heat exhaustion from prolonged outdoor work Cameron Kennedy from the Health & Safety department was involved. On 28 February 2024 at 10:37, an incident occurred at Fleet Garage. The incident was reported by Casey Davis. forklift malfunction caused a steel beam to drop, injuring the operator."
"Finley Sullivan from the Customer Service department was involved. On 20 April 2024 at 00:27, an incident occurred at Warehouse B. Worker fell from scaffolding while welding, resulting in burns. The incident was reported by Alex Bennett. Heat exhaustion from prolonged outdoor work"
"On 19 July 2025 at 23:42, an incident occurred at Shipyard Pier. The incident was reported by Drew Johnson. Harper Davis from the Dockyard Operations department was involved. Worker fell from ship deck while repairing the hull, resulting in burns. Heat exhaustion from prolonged outdoor work"
"crane malfunction caused electrical fire, injuring the operator. On 30 September 2024 at 12:14, an incident occurred at Training Room. Smoke inhalation from fire in electrical bay The incident was reported by Taylor Fisher. Drew Foster from the Legal department was involved."
"On 18 March 2025 at 02:13, an incident occurred at Fleet Garage. Finley Ward from the Engineering department was involved. forklift malfunction caused a fuel leak, injuring two workers. The incident was reported by Taylor Morgan. Concussion from falling object"
"Exposure to toxic fumes led to concussion. The incident was reported by Casey Reed. On 18 March 2025 at 14:55, an incident occurred at Cafeteria. Chemical burn from solvent exposure Logan Smith from the Ship Maintenance department was involved."
"Spencer Foster from the Customer Service department was involved. Fractured ankle due to fall from scaffolding On 01 November 2024 at 00:52, an incident occurred at Cafeteria. Worker fell from ladder while repairing the hull, resulting in burns. The incident was reported by Blake Lewis."
"On 23 June 2024 at 17:48, an incident occurred at Main Gate Security. The incident was reported by Blake Reed. Taylor Clark from the Ship Maintenance department was involved. crane malfunction caused a fuel leak, injuring the operator. Fractured ankle due to fall from scaffolding"
"Dislocated shoulder during equipment maintenance Cameron Clark from the Health & Safety department was involved. The incident was reported by Blake Sullivan. Exposure to toxic fumes led to a fractured leg. On 07 July 2025 at 13:57, an incident occurred at Fleet Garage."
"Severe abrasion from slip on deck forklift malfunction caused a fuel leak, injuring two workers. Riley Bennett from the Security department was involved. The incident was reported by Morgan Brown. On 04 August 2025 at 00:03, an incident occurred at Fleet Garage."
"The incident was reported by Alex Bailey. On 02 October 2024 at 12:44, an incident occurred at Dockyard South. Hearing damage from loud machinery crane malfunction caused a steel beam to drop, injuring two workers. Frankie Allen from the Finance department was involved."
"On 11 August 2024 at 00:27, an incident occurred at Maintenance Shed. Morgan Ward from the Environmental Services department was involved. Minor cuts and bruises The incident was reported by Jordan Smith. Exposure to asbestos led to a fractured leg."
"The incident was reported by Taylor Robinson. Heat exhaustion from prolonged outdoor work crane malfunction caused a fuel leak, injuring a contractor. On 10 March 2024 at 11:57, an incident occurred at Dockyard North. Harper Murray from the Finance department was involved."
"On 13 January 2024 at 08:50, an incident occurred at IT Server Room. crane malfunction caused a steel beam to drop, injuring two workers. The incident was reported by Jesse Ward. Fractured ankle due to fall from scaffolding Drew Pearson from the Dockyard Operations department was involved."
"On 21 May 2024 at 17:10, an incident occurred at Fleet Garage. Laceration from sharp metal panel The incident was reported by Jesse Morgan. Peyton Walker from the Health & Safety department was involved. forklift malfunction caused a steel beam to drop, injuring two workers."
"Casey Bailey from the Fleet Management department was involved. Foreign object in eye from grinding debris The incident was reported by Taylor Payne. On 02 December 2024 at 21:57, an incident occurred at Shipyard Pier. Worker fell from scaffolding while painting, resulting in burns."
"Chris Morgan from the Communications department was involved. Worker fell from ship deck while repairing the hull, resulting in a fractured leg. Severe abrasion from slip on deck On 17 April 2024 at 14:45, an incident occurred at Office - Admin Block. The incident was reported by Spencer Allen."
"Charlie Morgan from the Health & Safety department was involved. Heat exhaustion from prolonged outdoor work On 21 June 2024 at 13:51, an incident occurred at Engineering Workshop. The incident was reported by Drew Clark. Worker fell from ladder while painting, resulting in burns."
"Exposure to asbestos led to burns. On 02 July 2025 at 07:52, an incident occurred at Cafeteria. Morgan Smith from the Engineering department was involved. The incident was reported by Reese Payne. Back strain from improper lifting"
"Jesse Johnson from the Engineering department was involved. Exposure to high-voltage wiring led to concussion. Crush injury to hand from hydraulic press The incident was reported by Sawyer Mitchell. On 17 January 2024 at 07:45, an incident occurred at Dry Dock 2."
"Exposure to high-voltage wiring led to a fractured leg. Laceration from sharp metal panel On 16 September 2024 at 02:51, an incident occurred at Cafeteria. The incident was reported by Finley Smith. Cameron Davis from the Dockyard Operations department was involved."
"Foreign object in eye from grinding debris The incident was reported by Sydney Morgan. Worker fell from ladder while welding, resulting in a fractured leg. On 11 May 2025 at 02:21, an incident occurred at Office - Admin Block. Chris Morgan from the Engineering department was involved."
"Sawyer Lee from the Research & Development department was involved. Eye irritation from chemical fumes On 24 May 2024 at 21:44, an incident occurred at Paint Shop. grinder malfunction caused a fuel leak, injuring two workers. The incident was reported by Alex Foster."
"The incident was reported by Avery Smith. Drew Graham from the Warehouse department was involved. Eye irritation from chemical fumes Worker fell from ladder while painting, resulting in burns. On 28 July 2024 at 13:32, an incident occurred at Dockyard North."
"Worker fell from scaffolding while repairing the hull, resulting in concussion. Minor cuts and bruises On 24 May 2024 at 14:52, an incident occurred at Reception Area. Kai Payne from the Quality Assurance department was involved. The incident was reported by Quinn Walker."
"Exposure to high-voltage wiring led to a fractured leg. Rowan Foster from the HR department was involved. Concussion from falling object The incident was reported by Elliot Davis. On 27 April 2024 at 23:58, an incident occurred at Fleet Garage."
"On 20 May 2024 at 17:16, an incident occurred at Dockyard South. grinder malfunction caused electrical fire, injuring two workers. Laceration from sharp metal panel The incident was reported by Avery Murray. Rowan Sullivan from the Health & Safety department was involved."
"On 08 June 2024 at 20:21, an incident occurred at Dockyard South. Worker fell from ship deck while painting, resulting in burns. The incident was reported by Taylor Davis. Frankie Foster from the Quality Assurance department was involved. Chemical burn from solvent exposure"
"The incident was reported by Reese Allen. Worker fell from ship deck while repairing the hull, resulting in burns. Quinn Kennedy from the Facilities department was involved. Back strain from improper lifting On 22 June 2025 at 13:56, an incident occurred at Training Room."
"crane malfunction caused a steel beam to drop, injuring two workers. On 04 February 2025 at 08:58, an incident occurred at Reception Area. The incident was reported by Cameron Hughes. Concussion from falling object Charlie Mitchell from the Operations department was involved."
"On 09 May 2024 at 16:08, an incident occurred at Office - Admin Block. Blake Bailey from the Legal department was involved. Fractured ankle due to fall from scaffolding The incident was reported by Dakota Johnson. Exposure to high-voltage wiring led to concussion."
"The incident was reported by Reese Murphy. Exposure to asbestos led to concussion. On 15 April 2024 at 01:41, an incident occurred at Dockyard South. Foreign object in eye from grinding debris Morgan West from the IT department was involved."
"Alex Mitchell from the Logistics department was involved. On 20 October 2024 at 23:05, an incident occurred at Training Room. Exposure to toxic fumes led to a fractured leg. The incident was reported by Rowan Bailey. Heat exhaustion from prolonged outdoor work"
"Puncture wound from misplaced tool The incident was reported by Frankie Graham. On 24 August 2024 at 13:29, an incident occurred at Shipyard Pier. Reese Allen from the Legal department was involved. Worker fell from ship deck while repairing the hull, resulting in concussion."
"Frankie Lewis from the Research & Development department was involved. On 21 May 2025 at 05:23, an incident occurred at Fleet Garage. forklift malfunction caused a fuel leak, injuring the operator. Minor cuts and bruises The incident was reported by Finley Fisher."
"crane malfunction caused a fuel leak, injuring the operator. Emerson Lewis from the Procurement department was involved. Compressed air injury during maintenance The incident was reported by Kai Ward. On 13 October 2024 at 07:37, an incident occurred at Dockyard North."
"Harper Robinson from the Training & Development department was involved. grinder malfunction caused a steel beam to drop, injuring a contractor. The incident was reported by Blake Kennedy. On 21 May 2024 at 20:48, an incident occurred at Main Gate Security. Fractured wrist from fall on wet surface"
"The incident was reported by Rowan Payne. On 29 February 2024 at 10:17, an incident occurred at Engineering Workshop. Foreign object in eye from grinding debris Worker fell from scaffolding while painting, resulting in concussion. Cameron Johnson from the HR department was involved."
"On 10 February 2025 at 00:19, an incident occurred at Main Gate Security. The incident was reported by Skyler Holmes. Hearing damage from loud machinery Kai Lewis from the Legal department was involved. Worker fell from ladder while painting, resulting in concussion."
"Exposure to asbestos led to a fractured leg. Charlie Holmes from the Environmental Services department was involved. Dislocated shoulder during equipment maintenance On 25 February 2025 at 05:29, an incident occurred at Dockyard North. The incident was reported by Peyton Kennedy."
"Quinn Parker from the Communications department was involved. forklift malfunction caused a fuel leak, injuring the operator. On 20 December 2024 at 15:36, an incident occurred at Shipyard Pier. The incident was reported by Casey Fisher. Concussion from falling object"
"Riley Holmes from the Quality Assurance department was involved. Hearing damage from loud machinery On 27 February 2024 at 11:10, an incident occurred at Shipyard Pier. The incident was reported by Reese Fisher. Worker fell from scaffolding while welding, resulting in concussion."
"The incident was reported by Finley Robinson. Dislocated shoulder during equipment maintenance Kai Sullivan from the Security department was involved. On 04 January 2024 at 15:41, an incident occurred at IT Server Room. forklift malfunction caused a fuel leak, injuring the operator."
"Crush injury to hand from hydraulic press On 11 June 2024 at 03:57, an incident occurred at Dockyard South. Blake West from the Facilities department was involved. The incident was reported by Harper Sullivan. grinder malfunction caused a steel beam to drop, injuring two workers."
"Laceration from sharp metal panel Frankie Kennedy from the Ship Maintenance department was involved. On 13 February 2024 at 22:19, an incident occurred at Dry Dock 2. The incident was reported by Harper Reed. crane malfunction caused a fuel leak, injuring a contractor."
"Concussion from falling object The incident was reported by Alex Robinson. forklift malfunction caused a steel beam to drop, injuring a contractor. On 05 June 2024 at 11:22, an incident occurred at Main Gate Security. Jamie Graham from the Communications department was involved."
"The incident was reported by Skyler Parker. On 13 February 2024 at 08:14, an incident occurred at Engineering Workshop. Fractured ankle due to fall from scaffolding Chris Cooper from the HR department was involved. Worker fell from ladder while welding, resulting in burns."
"Fractured ankle due to fall from scaffolding On 17 March 2025 at 06:28, an incident occurred at Dockyard South. Elliot Parker from the Warehouse department was involved. Worker fell from ladder while welding, resulting in burns. The incident was reported by Elliot Ward."
"Minor cuts and bruises The incident was reported by Spencer Allen. Morgan Bailey from the Legal department was involved. On 27 May 2024 at 19:45, an incident occurred at Dry Dock 1. Worker fell from ladder while painting, resulting in a fractured leg."
"Foreign object in eye from grinding debris Logan Morgan from the Ship Maintenance department was involved. Worker fell from ladder while welding, resulting in a fractured leg. On 13 July 2025 at 16:49, an incident occurred at Maintenance Shed. The incident was reported by Jesse Mitchell."
"Back strain from improper lifting Chris Allen from the Ship Maintenance department was involved. On 07 February 2025 at 02:56, an incident occurred at IT Server Room. grinder malfunction caused electrical fire, injuring two workers. The incident was reported by Morgan Mitchell."
"Charlie Clark from the Customer Service department was involved. Exposure to asbestos led to concussion. The incident was reported by Blake Murray. Trip hazard fall resulting in bruising On 04 January 2025 at 17:26, an incident occurred at Dockyard South."
"Exposure to toxic fumes led to concussion. The incident was reported by Skyler Davis. Fractured ankle due to fall from scaffolding Quinn Bennett from the Engineering department was involved. On 15 July 2025 at 21:22, an incident occurred at Paint Shop."
"On 08 February 2024 at 15:04, an incident occurred at Electrical Bay. Fractured ankle due to fall from scaffolding Emerson Lewis from the Customer Service department was involved. The incident was reported by Jordan Payne. crane malfunction caused a steel beam to drop, injuring the operator."
"crane malfunction caused a fuel leak, injuring a contractor. The incident was reported by Sydney Bailey. On 27 July 2024 at 03:05, an incident occurred at Dockyard North. Logan Lee from the HR department was involved. Dislocated shoulder during equipment maintenance"
"grinder malfunction caused a fuel leak, injuring the operator. Quinn Robinson from the Fleet Management department was involved. The incident was reported by Morgan Smith. On 27 March 2025 at 13:02, an incident occurred at Engineering Workshop. Crush injury to hand from hydraulic press"
"Dislocated shoulder during equipment maintenance Exposure to high-voltage wiring led to burns. The incident was reported by Quinn Fisher. Quinn Davis from the Logistics department was involved. On 19 January 2025 at 06:13, an incident occurred at Warehouse B."
"The incident was reported by Jordan Fisher. On 15 July 2025 at 02:08, an incident occurred at Fuel Depot. Hearing damage from loud machinery grinder malfunction caused electrical fire, injuring a contractor. Taylor Hughes from the Procurement department was involved."
"Electric shock from faulty wiring On 15 May 2025 at 00:36, an incident occurred at Training Room. The incident was reported by Logan Graham. Worker fell from ship deck while welding, resulting in burns. Rowan Cooper from the IT department was involved."
"The incident was reported by Casey Smith. On 16 September 2024 at 11:23, an incident occurred at Paint Shop. Foreign object in eye from grinding debris Jordan Bailey from the Legal department was involved. forklift malfunction caused electrical fire, injuring the operator."
"On 27 December 2024 at 14:10, an incident occurred at Office - Admin Block. Drew Allen from the Operations department was involved. Eye irritation from chemical fumes The incident was reported by Avery Brown. Worker fell from scaffolding while painting, resulting in a fractured leg."
"Exposure to toxic fumes led to concussion. The incident was reported by Charlie Fisher. Dislocated shoulder during equipment maintenance On 16 November 2024 at 13:59, an incident occurred at Maintenance Shed. Rowan Reed from the Operations department was involved."
"Frankie West from the Customer Service department was involved. On 10 April 2024 at 08:19, an incident occurred at Engineering Workshop. The incident was reported by Elliot Murphy. Burn from hot welding equipment Exposure to high-voltage wiring led to concussion."
"Eye irritation from chemical fumes The incident was reported by Casey Davis. Exposure to asbestos led to concussion. Cameron Smith from the Fleet Management department was involved. On 13 July 2024 at 08:55, an incident occurred at Paint Shop."
"On 30 January 2025 at 16:17, an incident occurred at Warehouse A. Chris Parker from the Dockyard Operations department was involved. Electric shock from faulty wiring The incident was reported by Cameron Hughes. Worker fell from ladder while repairing the hull, resulting in a fractured leg."
"On 21 July 2025 at 13:01, an incident occurred at Paint Shop. Frankie Hughes from the Facilities department was involved. Smoke inhalation from fire in electrical bay The incident was reported by Charlie Hughes. crane malfunction caused a fuel leak, injuring two workers."
"The incident was reported by Sawyer Graham. Chris Lewis from the Operations department was involved. On 04 August 2024 at 08:21, an incident occurred at Dry Dock 1. Dislocated shoulder during equipment maintenance forklift malfunction caused a fuel leak, injuring a contractor."
"Jordan Payne from the Engineering department was involved. On 03 July 2025 at 21:51, an incident occurred at Reception Area. Worker fell from scaffolding while repairing the hull, resulting in a fractured leg. The incident was reported by Skyler Morgan. Smoke inhalation from fire in electrical bay"
"On 17 April 2025 at 08:47, an incident occurred at Dockyard North. Exposure to toxic fumes led to a fractured leg. The incident was reported by Logan Smith. Quinn Pearson from the Fleet Management department was involved. Trip hazard fall resulting in bruising"
"The incident was reported by Frankie Murray. Quinn Pearson from the Finance department was involved. On 13 May 2025 at 14:45, an incident occurred at Dry Dock 1. Smoke inhalation from fire in electrical bay Exposure to asbestos led to a fractured leg."
"On 07 June 2024 at 19:04, an incident occurred at Dockyard South. Kai Cooper from the Procurement department was involved. The incident was reported by Reese Mitchell. Worker fell from ladder while repairing the hull, resulting in concussion. Minor cuts and bruises"
"Back strain from improper lifting The incident was reported by Finley Allen. Exposure to high-voltage wiring led to burns. Kai West from the Research & Development department was involved. On 29 July 2025 at 17:10, an incident occurred at Dry Dock 1."
"crane malfunction caused a steel beam to drop, injuring a contractor. On 26 December 2024 at 17:10, an incident occurred at Dry Dock 1. Avery Clark from the Procurement department was involved. The incident was reported by Rowan Murray. Hearing damage from loud machinery"
"Quinn Brown from the IT department was involved. The incident was reported by Frankie Holmes. Puncture wound from misplaced tool On 13 May 2024 at 16:08, an incident occurred at Office - Admin Block. Worker fell from ladder while repairing the hull, resulting in concussion."
"The incident was reported by Emerson Davis. Sydney Clark from the Training & Development department was involved. On 12 July 2024 at 08:31, an incident occurred at Engineering Workshop. Exposure to toxic fumes led to concussion. Hearing damage from loud machinery"
"Exposure to asbestos led to a fractured leg. The incident was reported by Riley Hughes. Eye irritation from chemical fumes Blake Morgan from the Security department was involved. On 07 May 2025 at 01:03, an incident occurred at Office - Admin Block."
"Heat exhaustion from prolonged outdoor work Frankie Payne from the Warehouse department was involved. The incident was reported by Alex Holmes. Exposure to high-voltage wiring led to burns. On 02 January 2024 at 07:29, an incident occurred at Paint Shop."
"Riley Ward from the Warehouse department was involved. Exposure to toxic fumes led to burns. On 24 May 2025 at 10:43, an incident occurred at Cafeteria. The incident was reported by Taylor Johnson. Compressed air injury during maintenance"
"Rowan Cooper from the Training & Development department was involved. On 10 January 2024 at 13:17, an incident occurred at Fleet Garage. The incident was reported by Cameron Bennett. Chemical burn from solvent exposure Exposure to toxic fumes led to concussion."
"The incident was reported by Sydney West. Reese Murphy from the HR department was involved. forklift malfunction caused a steel beam to drop, injuring two workers. Crush injury to hand from hydraulic press On 05 January 2025 at 21:47, an incident occurred at Dry Dock 2."
"On 15 February 2025 at 21:55, an incident occurred at Fuel Depot. The incident was reported by Kai Graham. Frankie Ward from the Facilities department was involved. Exposure to asbestos led to a fractured leg. Hearing damage from loud machinery"
"Eye irritation from chemical fumes The incident was reported by Peyton Graham. forklift malfunction caused a steel beam to drop, injuring a contractor. On 27 September 2024 at 01:12, an incident occurred at Fleet Garage. Avery Cooper from the Environmental Services department was involved."
"On 29 May 2025 at 17:37, an incident occurred at Cafeteria. The incident was reported by Jordan Kennedy. Riley Hughes from the Research & Development department was involved. forklift malfunction caused electrical fire, injuring the operator. Minor cuts and bruises"
"Dislocated shoulder during equipment maintenance The incident was reported by Elliot Reed. On 27 March 2025 at 13:43, an incident occurred at Dockyard South. Worker fell from ship deck while welding, resulting in burns. Alex Payne from the IT department was involved."
"Exposure to asbestos led to a fractured leg. Quinn Murray from the Fleet Management department was involved. On 30 December 2024 at 13:10, an incident occurred at Warehouse B. Back strain from improper lifting The incident was reported by Drew Lewis."
"Quinn Bailey from the IT department was involved. Fractured wrist from fall on wet surface The incident was reported by Rowan Clark. On 30 January 2024 at 11:25, an incident occurred at Shipyard Pier. Worker fell from ladder while painting, resulting in a fractured leg."
"On 09 March 2025 at 20:36, an incident occurred at Training Room. Riley Brown from the Procurement department was involved. grinder malfunction caused a fuel leak, injuring a contractor. The incident was reported by Skyler Bennett. Severe abrasion from slip on deck"
"Reese Payne from the Legal department was involved. Compressed air injury during maintenance Worker fell from ladder while welding, resulting in a fractured leg. On 28 June 2024 at 19:41, an incident occurred at Fleet Garage. The incident was reported by Alex Sullivan."
"On 17 January 2025 at 11:48, an incident occurred at IT Server Room. The incident was reported by Harper Clark. Severe abrasion from slip on deck Dakota Walker from the Quality Assurance department was involved. crane malfunction caused a fuel leak, injuring a contractor."
"Crush injury to hand from hydraulic press Harper Sullivan from the HR department was involved. The incident was reported by Riley Murphy. On 01 November 2024 at 09:55, an incident occurred at Warehouse B. Exposure to asbestos led to a fractured leg."
"Jesse Morgan from the Operations department was involved. Worker fell from ship deck while repairing the hull, resulting in a fractured leg. On 03 January 2024 at 13:04, an incident occurred at Warehouse A. The incident was reported by Morgan Pearson. Puncture wound from misplaced tool"
"On 09 February 2024 at 15:21, an incident occurred at Shipyard Pier. Alex Murray from the Quality Assurance department was involved. Exposure to asbestos led to concussion. Minor cuts and bruises The incident was reported by Drew Bailey."
"Minor cuts and bruises The incident was reported by Harper Walker. On 26 February 2025 at 13:24, an incident occurred at Fuel Depot. grinder malfunction caused electrical fire, injuring two workers. Logan Allen from the Security department was involved."
"The incident was reported by Blake Fisher. On 29 June 2025 at 23:37, an incident occurred at Cafeteria. Casey Parker from the Dockyard Operations department was involved. Chemical burn from solvent exposure Worker fell from ladder while repairing the hull, resulting in concussion."
"The incident was reported by Reese Smith. Drew Graham from the Logistics department was involved. Electric shock from faulty wiring On 08 January 2024 at 08:56, an incident occurred at Paint Shop. grinder malfunction caused a steel beam to drop, injuring the operator."
"Sydney Foster from the Research & Development department was involved. The incident was reported by Quinn Morgan. forklift malfunction caused a steel beam to drop, injuring two workers. Trip hazard fall resulting in bruising On 16 March 2024 at 00:58, an incident occurred at Office - Admin Block."
"The incident was reported by Casey Davis. Alex Walker from the IT department was involved. Compressed air injury during maintenance grinder malfunction caused a fuel leak, injuring a contractor. On 14 April 2024 at 03:04, an incident occurred at Maintenance Shed."
"Emerson Lewis from the Training & Development department was involved. The incident was reported by Blake Graham. On 25 February 2025 at 12:54, an incident occurred at Maintenance Shed. grinder malfunction caused a steel beam to drop, injuring the operator. Crush injury to hand from hydraulic press"
"Minor cuts and bruises crane malfunction caused electrical fire, injuring the operator. Jordan Graham from the Customer Service department was involved. The incident was reported by Elliot Foster. On 15 November 2024 at 14:08, an incident occurred at Fuel Depot."
"Back strain from improper lifting On 20 November 2024 at 10:37, an incident occurred at Cafeteria. Kai West from the Health & Safety department was involved. grinder malfunction caused a fuel leak, injuring the operator. The incident was reported by Jordan Reed."
"On 23 July 2025 at 23:05, an incident occurred at Warehouse A. Exposure to high-voltage wiring led to concussion. Jamie Fisher from the Warehouse department was involved. The incident was reported by Casey Holmes. Laceration from sharp metal panel"
"Exposure to toxic fumes led to a fractured leg. On 17 July 2024 at 13:30, an incident occurred at Warehouse B. Peyton Walker from the Research & Development department was involved. Compressed air injury during maintenance The incident was reported by Quinn Holmes."
"On 06 June 2025 at 01:05, an incident occurred at Fleet Garage. Reese Allen from the Environmental Services department was involved. The incident was reported by Sawyer Graham. Worker fell from scaffolding while repairing the hull, resulting in burns. Heat exhaustion from prolonged outdoor work"
"On 25 September 2024 at 13:09, an incident occurred at Dry Dock 1. The incident was reported by Quinn West. Morgan Kennedy from the Communications department was involved. Exposure to asbestos led to burns. Laceration from sharp metal panel"
"Dislocated shoulder during equipment maintenance On 09 December 2024 at 05:23, an incident occurred at Dockyard South. Elliot Robinson from the Warehouse department was involved. Exposure to toxic fumes led to burns. The incident was reported by Emerson Bennett."
"Worker fell from ship deck while painting, resulting in burns. On 27 June 2025 at 17:30, an incident occurred at Fleet Garage. Smoke inhalation from fire in electrical bay The incident was reported by Cameron Robinson. Peyton Brown from the Health & Safety department was involved."
"The incident was reported by Drew Murray. Exposure to asbestos led to burns. On 30 June 2025 at 22:33, an incident occurred at Dockyard South. Spencer Brown from the Ship Maintenance department was involved. Heat exhaustion from prolonged outdoor work"
