reporter_name,person_involved,incident_date,incident_time,department,incident_description,location,label,was_injured,injury_description
Peyton Davis,Sawyer Pearson,16 January 2025,02:31,Dockyard Operations,"crane malfunction caused electrical fire, injuring a contractor.",Office - Admin Block,Accident,Yes,Electric shock from faulty wiring
Skyler Murphy,Dakota Fisher,06 April 2025,04:50,Operations,Exposure to asbestos led to burns.,Fleet Garage,Accident,Yes,Concussion from falling object
Emerson Bailey,Cameron Payne,07 February 2025,08:30,Procurement,"Worker fell from ladder while painting, resulting in concussion.",Office - Admin Block,Accident,Yes,Dislocated shoulder during equipment maintenance
Sydney Cooper,Rowan Johnson,27 July 2025,07:10,Training & Development,"forklift malfunction caused a steel beam to drop, injuring a contractor.",Maintenance Shed,Accident,Yes,Smoke inhalation from fire in electrical bay
Chris Bailey,Logan Foster,06 March 2025,10:19,Legal,Exposure to toxic fumes led to a fractured leg.,Maintenance Shed,Accident,Yes,Back strain from improper lifting
Emerson Ward,Riley Fisher,16 May 2024,06:20,Health & Safety,"crane malfunction caused electrical fire, injuring two workers.",Fuel Depot,Accident,Yes,Fractured wrist from fall on wet surface
Sydney Cooper,Sawyer Murphy,29 January 2025,03:53,Operations,Exposure to asbestos led to a fractured leg.,Dry Dock 2,Accident,Yes,Back strain from improper lifting
Morgan Payne,Emerson Allen,14 October 2024,14:06,Operations,"crane malfunction caused a steel beam to drop, injuring a contractor.",Reception Area,Accident,Yes,Hearing damage from loud machinery
Finley Hughes,Harper Holmes,03 May 2024,15:40,Legal,Exposure to high-voltage wiring led to burns.,Warehouse B,Accident,Yes,Compressed air injury during maintenance
Quinn Ward,Skyler Allen,11 February 2024,21:20,Quality Assurance,Exposure to asbestos led to concussion.,Engineering Workshop,Accident,Yes,Electric shock from faulty wiring
Taylor Fisher,Alex Lewis,20 January 2025,07:33,Security,"forklift malfunction caused electrical fire, injuring the operator.",IT Server Room,Accident,Yes,Minor cuts and bruises
Cameron Johnson,Frankie Sullivan,13 February 2025,18:16,Fleet Management,"forklift malfunction caused electrical fire, injuring a contractor.",Main Gate Security,Accident,Yes,Trip hazard fall resulting in bruising
Rowan West,Skyler Fisher,02 August 2025,19:49,Facilities,"crane malfunction caused electrical fire, injuring two workers.",Fleet Garage,Accident,Yes,Concussion from falling object
Sawyer Murphy,Logan Murray,16 April 2024,17:34,Environmental Services,"Worker fell from scaffolding while welding, resulting in a fractured leg.",Shipyard Pier,Accident,Yes,Electric shock from faulty wiring
Riley Pearson,Reese Pearson,21 May 2025,07:20,Quality Assurance,"grinder malfunction caused a steel beam to drop, injuring two workers.",Reception Area,Accident,Yes,Trip hazard fall resulting in bruising
Skyler Bennett,Alex Payne,10 December 2024,13:12,Customer Service,"crane malfunction caused a fuel leak, injuring the operator.",Reception Area,Accident,Yes,Hearing damage from loud machinery
Cameron Murphy,Jesse Allen,26 July 2025,09:48,IT,"forklift malfunction caused electrical fire, injuring a contractor.",Shipyard Pier,Accident,Yes,Smoke inhalation from fire in electrical bay
Jesse West,Jordan Kennedy,16 April 2025,19:35,Training & Development,Exposure to toxic fumes led to burns.,Dry Dock 1,Accident,Yes,Heat exhaustion from prolonged outdoor work
Morgan Holmes,Reese West,14 October 2024,00:38,Quality Assurance,"grinder malfunction caused a fuel leak, injuring a contractor.",Maintenance Shed,Accident,Yes,Fractured ankle due to fall from scaffolding
Peyton Parker,Chris Foster,26 November 2024,14:22,Legal,Exposure to high-voltage wiring led to concussion.,Dry Dock 2,Accident,Yes,Foreign object in eye from grinding debris
Cameron Walker,Jesse Robinson,06 September 2024,00:53,Research & Development,"Worker fell from scaffolding while welding, resulting in burns.",Warehouse B,Accident,Yes,Eye irritation from chemical fumes
Charlie Graham,Harper Smith,23 August 2024,02:13,Environmental Services,"crane malfunction caused a steel beam to drop, injuring a contractor.",Main Gate Security,Accident,Yes,Chemical burn from solvent exposure
Kai Hughes,Sydney Parker,21 March 2025,09:26,Customer Service,"forklift malfunction caused a steel beam to drop, injuring two workers.",Warehouse A,Accident,Yes,Fractured wrist from fall on wet surface
Jamie Bailey,Skyler Davis,19 June 2024,13:53,Logistics,"crane malfunction caused a fuel leak, injuring a contractor.",Reception Area,Accident,Yes,Compressed air injury during maintenance
Reese Brown,Spencer Bennett,17 December 2024,11:15,Security,"Worker fell from ship deck while painting, resulting in concussion.",Dry Dock 2,Accident,Yes,Back strain from improper lifting
Skyler Smith,Jamie Johnson,19 July 2025,18:05,Logistics,"grinder malfunction caused electrical fire, injuring the operator.",Warehouse A,Accident,Yes,Hearing damage from loud machinery
Finley Pearson,Charlie West,04 July 2024,11:47,Ship Maintenance,"forklift malfunction caused electrical fire, injuring a contractor.",Training Room,Accident,Yes,Hearing damage from loud machinery
Emerson Davis,Jesse Payne,22 May 2024,15:00,IT,Exposure to asbestos led to concussion.,Dry Dock 2,Accident,Yes,Burn from hot welding equipment
Jamie Mitchell,Finley Cooper,03 August 2025,01:57,Logistics,"crane malfunction caused electrical fire, injuring two workers.",Warehouse B,Accident,Yes,Minor cuts and bruises
Morgan Bailey,Reese Johnson,23 July 2024,21:01,Research & Development,Exposure to asbestos led to concussion.,Engineering Workshop,Accident,Yes,Trip hazard fall resulting in bruising
Alex Pearson,Drew Hughes,16 May 2024,03:43,Ship Maintenance,"Worker fell from scaffolding while welding, resulting in concussion.",Dry Dock 1,Accident,Yes,Severe abrasion from slip on deck
Casey Robinson,Logan Lewis,10 April 2024,19:31,Facilities,Exposure to toxic fumes led to a fractured leg.,Shipyard Pier,Accident,Yes,Dislocated shoulder during equipment maintenance
Sawyer Kennedy,Logan Sullivan,05 July 2025,18:38,Health & Safety,Exposure to toxic fumes led to a fractured leg.,Warehouse B,Accident,Yes,Smoke inhalation from fire in electrical bay
Dakota Kennedy,Cameron Reed,08 March 2025,02:03,Quality Assurance,"crane malfunction caused a steel beam to drop, injuring the operator.",Fuel Depot,Accident,Yes,Laceration from sharp metal panel
Riley Payne,Harper Reed,24 November 2024,09:24,Logistics,"crane malfunction caused electrical fire, injuring a contractor.",Maintenance Shed,Accident,Yes,Compressed air injury during maintenance
Emerson Pearson,Blake Brown,10 November 2024,18:21,Warehouse,Exposure to asbestos led to burns.,Dry Dock 1,Accident,Yes,Dislocated shoulder during equipment maintenance
Rowan Hughes,Reese Parker,23 February 2024,18:54,Quality Assurance,"forklift malfunction caused electrical fire, injuring two workers.",Reception Area,Accident,Yes,Fractured ankle due to fall from scaffolding
Jordan Foster,Sawyer Parker,10 January 2024,08:35,Health & Safety,"grinder malfunction caused a steel beam to drop, injuring two workers.",Training Room,Accident,Yes,Severe abrasion from slip on deck
Chris Bailey,Emerson Reed,22 March 2024,04:30,Procurement,"forklift malfunction caused electrical fire, injuring a contractor.",Paint Shop,Accident,Yes,Fractured wrist from fall on wet surface
Sawyer Lee,Sawyer Parker,14 April 2025,05:23,Dockyard Operations,Exposure to asbestos led to concussion.,Office - Admin Block,Accident,Yes,Heat exhaustion from prolonged outdoor work
Jordan Allen,Avery Mitchell,06 February 2024,06:45,Research & Development,"Worker fell from ladder while repairing the hull, resulting in burns.",Cafeteria,Accident,Yes,Fractured wrist from fall on wet surface
Jordan Pearson,Kai Cooper,18 January 2025,12:08,Customer Service,"grinder malfunction caused a steel beam to drop, injuring a contractor.",Dry Dock 1,Accident,Yes,Laceration from sharp metal panel
Jordan Brown,Quinn Murphy,24 May 2025,07:41,IT,Exposure to toxic fumes led to a fractured leg.,Dry Dock 1,Accident,Yes,Chemical burn from solvent exposure
Chris Murphy,Avery West,27 March 2024,13:21,Engineering,"grinder malfunction caused electrical fire, injuring two workers.",Dockyard North,Accident,Yes,Hearing damage from loud machinery
Riley Brown,Blake Reed,30 May 2024,22:11,Dockyard Operations,Exposure to asbestos led to burns.,Dockyard North,Accident,Yes,Electric shock from faulty wiring
Dakota Robinson,Reese Holmes,07 March 2025,10:32,Research & Development,"Worker fell from scaffolding while painting, resulting in concussion.",Warehouse B,Accident,Yes,Smoke inhalation from fire in electrical bay
Elliot Smith,Emerson Hughes,27 February 2024,02:05,Security,"Worker fell from scaffolding while painting, resulting in burns.",Warehouse A,Accident,Yes,Concussion from falling object
Peyton Bennett,Frankie Clark,03 May 2024,21:45,Security,Exposure to toxic fumes led to concussion.,Cafeteria,Accident,Yes,Heat exhaustion from prolonged outdoor work
Avery West,Casey Hughes,13 July 2025,09:15,Facilities,Exposure to asbestos led to a fractured leg.,Fleet Garage,Accident,Yes,Trip hazard fall resulting in bruising
Finley Robinson,Emerson Bailey,06 August 2025,14:52,Facilities,"crane malfunction caused electrical fire, injuring a contractor.",Shipyard Pier,Accident,Yes,Fractured wrist from fall on wet surface
Elliot Clark,Kai West,23 November 2024,22:42,Logistics,"Worker fell from ship deck while repairing the hull, resulting in a fractured leg.",Office - Admin Block,Accident,Yes,Concussion from falling object
Spencer Graham,Elliot Clark,17 February 2024,02:01,IT,"Worker fell from ship deck while repairing the hull, resulting in a fractured leg.",Maintenance Shed,Accident,Yes,Trip hazard fall resulting in bruising
Quinn Lewis,Alex Lee,15 May 2024,12:35,Security,"Worker fell from ladder while repairing the hull, resulting in a fractured leg.",Main Gate Security,Accident,Yes,Eye irritation from chemical fumes
Riley Cooper,Sawyer Foster,30 January 2024,05:34,Operations,"forklift malfunction caused a fuel leak, injuring a contractor.",Cafeteria,Accident,Yes,Fractured ankle due to fall from scaffolding
Avery Fisher,Quinn Morgan,14 June 2025,10:52,Quality Assurance,Exposure to high-voltage wiring led to burns.,Paint Shop,Accident,Yes,Electric shock from faulty wiring
Drew Cooper,Avery Pearson,07 June 2025,17:29,Research & Development,Exposure to asbestos led to a fractured leg.,Electrical Bay,Accident,Yes,Heat exhaustion from prolonged outdoor work
Cameron Sullivan,Peyton Fisher,15 August 2024,03:18,Logistics,"Worker fell from ship deck while repairing the hull, resulting in burns.",Dockyard South,Accident,Yes,Dislocated shoulder during equipment maintenance
Quinn Murphy,Harper Graham,12 July 2025,11:06,Research & Development,"Worker fell from ship deck while welding, resulting in a fractured leg.",Paint Shop,Accident,Yes,Electric shock from faulty wiring
Casey Hughes,Logan Bennett,05 April 2025,23:14,Health & Safety,Exposure to toxic fumes led to burns.,Engineering Workshop,Accident,Yes,Crush injury to hand from hydraulic press
Avery Robinson,Peyton Parker,13 April 2025,11:45,IT,"Worker fell from scaffolding while painting, resulting in concussion.",Shipyard Pier,Accident,Yes,Back strain from improper lifting
Spencer Murphy,Jamie West,30 April 2025,00:59,Customer Service,Exposure to toxic fumes led to a fractured leg.,IT Server Room,Accident,Yes,Trip hazard fall resulting in bruising
Elliot Mitchell,Elliot Kennedy,29 April 2025,05:58,Finance,"forklift malfunction caused a steel beam to drop, injuring a contractor.",Warehouse B,Accident,Yes,Minor cuts and bruises
Sydney Smith,Elliot Morgan,27 November 2024,10:25,Procurement,Exposure to asbestos led to concussion.,Electrical Bay,Accident,Yes,Burn from hot welding equipment
Reese Murphy,Kai Walker,20 December 2024,10:12,Operations,Exposure to high-voltage wiring led to burns.,Warehouse A,Accident,Yes,Electric shock from faulty wiring
Dakota Davis,Casey Reed,19 November 2024,18:44,Communications,Exposure to toxic fumes led to burns.,Fleet Garage,Accident,Yes,Compressed air injury during maintenance
Avery Morgan,Frankie Holmes,24 February 2025,00:04,IT,Exposure to asbestos led to burns.,Fuel Depot,Accident,Yes,Back strain from improper lifting
Chris Johnson,Taylor Lee,14 September 2024,21:04,Customer Service,"Worker fell from scaffolding while repairing the hull, resulting in concussion.",IT Server Room,Accident,Yes,Back strain from improper lifting
Jesse Smith,Rowan Clark,20 February 2024,14:06,Communications,"crane malfunction caused a steel beam to drop, injuring the operator.",Fuel Depot,Accident,Yes,Heat exhaustion from prolonged outdoor work
Charlie Johnson,Reese Pearson,25 January 2025,12:45,Dockyard Operations,Exposure to high-voltage wiring led to burns.,Warehouse A,Accident,Yes,Back strain from improper lifting
Blake Holmes,Jamie Pearson,14 November 2024,12:56,Warehouse,"Worker fell from ship deck while painting, resulting in burns.",Fleet Garage,Accident,Yes,Chemical burn from solvent exposure
Finley Holmes,Rowan Davis,15 January 2024,04:29,Finance,"Worker fell from scaffolding while repairing the hull, resulting in a fractured leg.",Dry Dock 2,Accident,Yes,Fractured ankle due to fall from scaffolding
Avery Walker,Jesse Ward,04 April 2024,13:14,Dockyard Operations,Exposure to asbestos led to a fractured leg.,Warehouse A,Accident,Yes,Chemical burn from solvent exposure
Charlie Lee,Jamie Walker,07 June 2025,01:38,Communications,Exposure to high-voltage wiring led to burns.,Shipyard Pier,Accident,Yes,Fractured ankle due to fall from scaffolding
Kai Foster,Chris Mitchell,03 June 2024,16:50,IT,"crane malfunction caused a fuel leak, injuring a contractor.",Office - Admin Block,Accident,Yes,Dislocated shoulder during equipment maintenance
Sawyer Graham,Blake Ward,25 December 2024,06:57,Environmental Services,"grinder malfunction caused a steel beam to drop, injuring the operator.",Cafeteria,Accident,Yes,Hearing damage from loud machinery
Riley Morgan,Taylor Ward,04 August 2024,17:57,Security,"Worker fell from ladder while repairing the hull, resulting in burns.",Warehouse A,Accident,Yes,Foreign object in eye from grinding debris
Peyton Pearson,Elliot Murray,15 April 2024,13:35,Warehouse,"crane malfunction caused a fuel leak, injuring two workers.",Fuel Depot,Accident,Yes,Crush injury to hand from hydraulic press
Peyton Johnson,Elliot Brown,16 December 2024,07:21,Finance,"Worker fell from ship deck while painting, resulting in burns.",Dockyard North,Accident,Yes,Severe abrasion from slip on deck
Chris Hughes,Blake Johnson,18 October 2024,10:53,Warehouse,"Worker fell from ladder while repairing the hull, resulting in concussion.",Paint Shop,Accident,Yes,Heat exhaustion from prolonged outdoor work
Drew Smith,Jordan Cooper,11 October 2024,15:30,Customer Service,"grinder malfunction caused a fuel leak, injuring two workers.",Engineering Workshop,Accident,Yes,Concussion from falling object
Dakota Kennedy,Charlie Johnson,09 May 2025,00:04,Security,Exposure to asbestos led to burns.,Paint Shop,Accident,Yes,Laceration from sharp metal panel
Cameron Morgan,Finley Robinson,28 July 2024,16:55,Security,"Worker fell from ladder while repairing the hull, resulting in burns.",Shipyard Pier,Accident,Yes,Dislocated shoulder during equipment maintenance
Avery Pearson,Reese Murphy,08 November 2024,07:25,Communications,"Worker fell from ladder while painting, resulting in a fractured leg.",Maintenance Shed,Accident,Yes,Puncture wound from misplaced tool
Elliot Robinson,Rowan Lee,02 May 2024,11:48,Communications,"Worker fell from ladder while painting, resulting in a fractured leg.",Warehouse B,Accident,Yes,Back strain from improper lifting
Sawyer Smith,Reese Payne,29 July 2024,08:50,Security,"Worker fell from ship deck while repairing the hull, resulting in concussion.",IT Server Room,Accident,Yes,Electric shock from faulty wiring
Sawyer Bailey,Jesse Graham,17 February 2024,01:10,Legal,"Worker fell from ladder while welding, resulting in concussion.",Paint Shop,Accident,Yes,Foreign object in eye from grinding debris
Rowan Clark,Skyler West,07 July 2024,03:38,Training & Development,"forklift malfunction caused electrical fire, injuring two workers.",Warehouse B,Accident,Yes,Dislocated shoulder during equipment maintenance
Charlie Fisher,Logan Kennedy,09 February 2024,11:04,Research & Development,Exposure to toxic fumes led to burns.,Engineering Workshop,Accident,Yes,Trip hazard fall resulting in bruising
Logan Brown,Rowan Davis,19 November 2024,05:42,Ship Maintenance,Exposure to high-voltage wiring led to burns.,Fleet Garage,Accident,Yes,Eye irritation from chemical fumes
Skyler Robinson,Charlie Bailey,25 March 2024,11:58,Quality Assurance,Exposure to asbestos led to concussion.,Main Gate Security,Accident,Yes,Burn from hot welding equipment
Charlie Payne,Avery Murray,05 July 2024,16:08,Finance,"grinder malfunction caused a fuel leak, injuring two workers.",IT Server Room,Accident,Yes,Trip hazard fall resulting in bruising
Blake Graham,Cameron Smith,11 November 2024,13:22,Research & Development,Exposure to toxic fumes led to concussion.,Dry Dock 1,Accident,Yes,Puncture wound from misplaced tool
Casey Hughes,Rowan Allen,14 March 2024,18:23,Operations,"grinder malfunction caused a steel beam to drop, injuring a contractor.",Dockyard North,Accident,Yes,Minor cuts and bruises
Quinn Ward,Kai Kennedy,06 September 2024,06:17,Warehouse,Exposure to asbestos led to burns.,IT Server Room,Accident,Yes,Electric shock from faulty wiring
Rowan Pearson,Skyler Foster,09 May 2024,10:50,IT,"Worker fell from ladder while welding, resulting in a fractured leg.",IT Server Room,Accident,Yes,Electric shock from faulty wiring
Peyton Lewis,Kai Cooper,20 May 2024,02:43,Security,Exposure to high-voltage wiring led to concussion.,Main Gate Security,Accident,Yes,Concussion from falling object
Riley Cooper,Alex Ward,04 October 2024,13:49,Research & Development,Exposure to high-voltage wiring led to burns.,Fleet Garage,Accident,Yes,Compressed air injury during maintenance
Dakota Mitchell,Kai Davis,19 July 2025,11:47,Health & Safety,"Worker fell from ship deck while painting, resulting in a fractured leg.",Dockyard South,Accident,Yes,Foreign object in eye from grinding debris
Taylor Payne,Jordan Morgan,09 April 2025,22:08,IT,"grinder malfunction caused electrical fire, injuring two workers.",Reception Area,Accident,Yes,Smoke inhalation from fire in electrical bay
Sydney Reed,Spencer Pearson,11 March 2024,08:35,Procurement,"grinder malfunction caused a steel beam to drop, injuring a contractor.",IT Server Room,Accident,Yes,Compressed air injury during maintenance
Kai Brown,Jordan Davis,01 March 2024,22:57,Training & Development,Exposure to asbestos led to burns.,Dry Dock 2,Accident,Yes,Trip hazard fall resulting in bruising
Jesse Morgan,Sawyer Johnson,19 June 2025,00:59,Operations,"grinder malfunction caused a fuel leak, injuring a contractor.",Fleet Garage,Accident,Yes,Foreign object in eye from grinding debris
Sawyer Davis,Elliot Payne,26 February 2025,19:09,Research & Development,Exposure to asbestos led to a fractured leg.,Dockyard South,Accident,Yes,Foreign object in eye from grinding debris
Riley Cooper,Alex Mitchell,03 January 2025,23:17,Logistics,"grinder malfunction caused a steel beam to drop, injuring the operator.",Electrical Bay,Accident,Yes,Severe abrasion from slip on deck
Jordan Smith,Emerson Ward,30 March 2024,12:19,Environmental Services,"crane malfunction caused electrical fire, injuring the operator.",Shipyard Pier,Accident,Yes,Smoke inhalation from fire in electrical bay
Logan Mitchell,Elliot Johnson,19 May 2024,16:22,Fleet Management,"Worker fell from ship deck while painting, resulting in concussion.",Office - Admin Block,Accident,Yes,Chemical burn from solvent exposure
Sawyer Kennedy,Charlie Sullivan,29 December 2024,11:52,Security,"Worker fell from ship deck while painting, resulting in a fractured leg.",Electrical Bay,Accident,Yes,Dislocated shoulder during equipment maintenance
Chris Mitchell,Quinn West,19 January 2025,20:27,HR,"forklift malfunction caused a steel beam to drop, injuring the operator.",Paint Shop,Accident,Yes,Heat exhaustion from prolonged outdoor work
Riley Pearson,Peyton Robinson,15 February 2025,14:56,Training & Development,"Worker fell from ship deck while painting, resulting in burns.",Paint Shop,Accident,Yes,Fractured wrist from fall on wet surface
Emerson Walker,Riley Smith,01 March 2024,05:55,Warehouse,"forklift malfunction caused electrical fire, injuring the operator.",Reception Area,Accident,Yes,Electric shock from faulty wiring
Alex Brown,Sydney Payne,25 January 2025,11:10,Security,"Worker fell from scaffolding while painting, resulting in a fractured leg.",IT Server Room,Accident,Yes,Dislocated shoulder during equipment maintenance
Avery Payne,Sawyer Bailey,03 March 2025,13:15,Logistics,Exposure to high-voltage wiring led to a fractured leg.,Dry Dock 2,Accident,Yes,Puncture wound from misplaced tool
Blake Sullivan,Emerson Murray,03 May 2025,20:13,Health & Safety,Exposure to asbestos led to a fractured leg.,Paint Shop,Accident,Yes,Back strain from improper lifting
Logan West,Frankie Pearson,06 May 2025,03:33,Engineering,"Worker fell from ladder while repairing the hull, resulting in a fractured leg.",Electrical Bay,Accident,Yes,Puncture wound from misplaced tool
Finley Johnson,Frankie Bailey,29 April 2024,06:38,Environmental Services,"crane malfunction caused a steel beam to drop, injuring two workers.",IT Server Room,Accident,Yes,Burn from hot welding equipment
Finley Bennett,Quinn Holmes,20 September 2024,14:44,Health & Safety,"Worker fell from ship deck while welding, resulting in a fractured leg.",Dockyard North,Accident,Yes,Foreign object in eye from grinding debris
Reese Morgan,Casey Allen,12 May 2024,09:24,Quality Assurance,Exposure to asbestos led to burns.,Training Room,Accident,Yes,Eye irritation from chemical fumes
Peyton Graham,Harper Clark,24 November 2024,19:54,Warehouse,"Worker fell from ladder while repairing the hull, resulting in concussion.",Dry Dock 1,Accident,Yes,Dislocated shoulder during equipment maintenance
Emerson Reed,Drew Pearson,14 May 2024,07:01,Research & Development,Exposure to toxic fumes led to a fractured leg.,Office - Admin Block,Accident,Yes,Electric shock from faulty wiring
Dakota Lee,Logan Lewis,19 October 2024,14:43,Facilities,"Worker fell from ship deck while repairing the hull, resulting in burns.",IT Server Room,Accident,Yes,Trip hazard fall resulting in bruising
Drew Pearson,Jesse Johnson,16 May 2025,19:46,Research & Development,"Worker fell from scaffolding while welding, resulting in concussion.",Dry Dock 1,Accident,Yes,Chemical burn from solvent exposure
Skyler Murray,Frankie Davis,26 September 2024,07:31,Facilities,"crane malfunction caused a fuel leak, injuring a contractor.",Reception Area,Accident,Yes,Crush injury to hand from hydraulic press
Frankie Morgan,Taylor Davis,11 February 2025,11:51,Environmental Services,Exposure to asbestos led to burns.,Cafeteria,Accident,Yes,Chemical burn from solvent exposure
Drew Fisher,Jordan Pearson,28 October 2024,07:59,Operations,"Worker fell from ship deck while repairing the hull, resulting in a fractured leg.",Fuel Depot,Accident,Yes,Heat exhaustion from prolonged outdoor work
Jesse Murray,Skyler Hughes,29 April 2025,00:16,Health & Safety,"crane malfunction caused a fuel leak, injuring a contractor.",Reception Area,Accident,Yes,Fractured ankle due to fall from scaffolding
Quinn Clark,Kai Pearson,09 March 2024,08:10,Operations,"Worker fell from ship deck while welding, resulting in a fractured leg.",Engineering Workshop,Accident,Yes,Puncture wound from misplaced tool
Sydney Johnson,Cameron Allen,15 March 2025,21:32,Communications,"crane malfunction caused a steel beam to drop, injuring two workers.",Tool Crib,Accident,Yes,Severe abrasion from slip on deck
Morgan Bennett,Avery Reed,13 June 2025,04:03,HR,Exposure to toxic fumes led to a fractured leg.,Electrical Bay,Accident,Yes,Heat exhaustion from prolonged outdoor work
Reese Johnson,Alex Bennett,10 February 2024,05:34,Quality Assurance,"grinder malfunction caused electrical fire, injuring a contractor.",IT Server Room,Accident,Yes,Fractured ankle due to fall from scaffolding
Blake Lee,Harper Kennedy,07 August 2024,19:07,Dockyard Operations,"forklift malfunction caused a fuel leak, injuring two workers.",Warehouse A,Accident,Yes,Severe abrasion from slip on deck
Rowan Clark,Skyler Pearson,03 June 2025,05:50,Logistics,"grinder malfunction caused a steel beam to drop, injuring the operator.",Dockyard South,Accident,Yes,Concussion from falling object
Elliot Holmes,Jamie Robinson,23 October 2024,14:03,Operations,"grinder malfunction caused a fuel leak, injuring two workers.",Engineering Workshop,Accident,Yes,Concussion from falling object
Sydney Kennedy,Finley Graham,25 June 2025,19:33,Procurement,"Worker fell from scaffolding while painting, resulting in concussion.",Cafeteria,Accident,Yes,Severe abrasion from slip on deck
Cameron Bennett,Riley Mitchell,24 June 2024,00:53,Research & Development,"Worker fell from ship deck while repairing the hull, resulting in burns.",IT Server Room,Accident,Yes,Back strain from improper lifting
Dakota Foster,Dakota Mitchell,30 July 2024,18:04,Security,"crane malfunction caused electrical fire, injuring the operator.",Tool Crib,Accident,Yes,Crush injury to hand from hydraulic press
Alex Walker,Dakota Robinson,31 July 2025,19:27,Finance,Exposure to asbestos led to concussion.,IT Server Room,Accident,Yes,Dislocated shoulder during equipment maintenance
Reese Ward,Spencer Kennedy,01 November 2024,14:28,Health & Safety,"forklift malfunction caused electrical fire, injuring a contractor.",Dockyard South,Accident,Yes,Laceration from sharp metal panel
Quinn Payne,Blake Ward,19 January 2025,09:38,Communications,"forklift malfunction caused electrical fire, injuring the operator.",Fleet Garage,Accident,Yes,Laceration from sharp metal panel
Reese Kennedy,Dakota Parker,23 March 2025,01:16,Security,"crane malfunction caused electrical fire, injuring two workers.",Fuel Depot,Accident,Yes,Fractured ankle due to fall from scaffolding
Dakota Fisher,Logan Hughes,11 September 2024,10:19,Ship Maintenance,Exposure to toxic fumes led to burns.,Electrical Bay,Accident,Yes,Trip hazard fall resulting in bruising
Casey West,Rowan Parker,28 January 2025,00:15,Communications,Exposure to toxic fumes led to concussion.,Warehouse A,Accident,Yes,Smoke inhalation from fire in electrical bay
Frankie Allen,Emerson Parker,16 October 2024,15:38,Facilities,"crane malfunction caused electrical fire, injuring two workers.",Engineering Workshop,Accident,Yes,Fractured wrist from fall on wet surface
Sawyer Bailey,Avery Payne,18 June 2024,07:13,Security,"Worker fell from scaffolding while repairing the hull, resulting in burns.",Office - Admin Block,Accident,Yes,Crush injury to hand from hydraulic press
Rowan Graham,Harper Smith,18 February 2025,12:20,Finance,"Worker fell from ship deck while welding, resulting in concussion.",Warehouse A,Accident,Yes,Foreign object in eye from grinding debris
Jordan Parker,Logan Smith,16 December 2024,22:14,HR,"Worker fell from ladder while repairing the hull, resulting in a fractured leg.",Paint Shop,Accident,Yes,Concussion from falling object
Avery Smith,Blake Foster,31 July 2025,21:52,Quality Assurance,"grinder malfunction caused a fuel leak, injuring a contractor.",Dockyard South,Accident,Yes,Laceration from sharp metal panel
Charlie Brown,Dakota Fisher,01 August 2024,10:24,Communications,"grinder malfunction caused a steel beam to drop, injuring two workers.",Fuel Depot,Accident,Yes,Smoke inhalation from fire in electrical bay
Sawyer Foster,Taylor Lewis,17 June 2025,17:48,Warehouse,Exposure to asbestos led to concussion.,IT Server Room,Accident,Yes,Fractured ankle due to fall from scaffolding
Avery Reed,Harper Bailey,08 June 2024,10:42,Environmental Services,Exposure to toxic fumes led to a fractured leg.,Reception Area,Accident,Yes,Back strain from improper lifting
Morgan Allen,Emerson Robinson,11 December 2024,21:22,Warehouse,Exposure to toxic fumes led to burns.,Paint Shop,Accident,Yes,Hearing damage from loud machinery
Casey Murphy,Skyler Allen,18 January 2025,21:45,Operations,"Worker fell from ship deck while repairing the hull, resulting in burns.",Reception Area,Accident,Yes,Back strain from improper lifting
Finley Bennett,Jesse Johnson,24 February 2024,23:39,Legal,"Worker fell from ship deck while welding, resulting in a fractured leg.",Office - Admin Block,Accident,Yes,Concussion from falling object
Blake Lewis,Peyton Ward,10 November 2024,05:17,Logistics,Exposure to toxic fumes led to a fractured leg.,Dockyard South,Accident,Yes,Burn from hot welding equipment
Skyler Pearson,Harper Ward,06 January 2024,21:47,Security,"grinder malfunction caused a fuel leak, injuring two workers.",Warehouse B,Accident,Yes,Eye irritation from chemical fumes
Jesse Sullivan,Logan Bennett,05 July 2024,14:17,Engineering,Exposure to toxic fumes led to concussion.,Maintenance Shed,Accident,Yes,Hearing damage from loud machinery
Jamie Fisher,Finley Cooper,24 August 2024,03:29,Operations,"Worker fell from ladder while painting, resulting in burns.",Engineering Workshop,Accident,Yes,Severe abrasion from slip on deck
Finley West,Quinn Lee,09 August 2024,20:45,Research & Development,"crane malfunction caused electrical fire, injuring the operator.",Office - Admin Block,Accident,Yes,Electric shock from faulty wiring
Spencer Clark,Riley Sullivan,05 February 2025,20:35,Training & Development,Exposure to toxic fumes led to burns.,Dockyard North,Accident,Yes,Burn from hot welding equipment
Logan Ward,Blake Holmes,21 March 2025,00:27,Communications,Exposure to high-voltage wiring led to a fractured leg.,Dockyard South,Accident,Yes,Crush injury to hand from hydraulic press
Elliot Walker,Finley Mitchell,16 August 2024,00:02,Environmental Services,"Worker fell from scaffolding while painting, resulting in burns.",Dry Dock 2,Accident,Yes,Trip hazard fall resulting in bruising
Finley Johnson,Taylor Johnson,02 March 2024,06:53,Logistics,"Worker fell from ladder while welding, resulting in concussion.",Office - Admin Block,Accident,Yes,Burn from hot welding equipment
Sawyer Johnson,Rowan Murray,06 July 2025,23:34,Training & Development,"forklift malfunction caused a fuel leak, injuring two workers.",Main Gate Security,Accident,Yes,Back strain from improper lifting
